unit,time,mood_mean,engagement_mean,utterance,mood1,mood2,mood3,eng1,eng2,eng3,comment1,comment2,comment3
1,00:00,3,5,"V13: … to participate? 
V11: These people  
V14: hm mmm ",2,3,4,4,5,6,,,
2,00:04,4.3,5.3,"V11: Really? And now there are several – that is also important - These people who take part in the residents’ committee and who have been trained. The people who always had the biggest problem with Ellen, conflicts which were mediated thanks to our intervention.  Several of these people have participated here and that went very well. They are now ambassadors for the training. ",2,6,5,5,6,5,,,
3,00:33,5.3,6.3,"V12: Monique brought a whopper \n of a conflict to our attention. 
V11: Yes and that conflict was a result of a big conflict there. So really we should make more conflicts! 
V12: No it starts with conflict, those are the energetic people, those who face up to conflict.  
Multiple voices",5,6,5,7,5.5,6.5,,,
4,00:53,5,5.6,"V11: The neighbourhood inhabitants, they are the key factor. I am absolutely convinced of this. AND people like Olaf. And also Ellen. If we hadn’t had these people, we would have been long gone by now. ",4,5,6,5,6,6,,,
5,01:10,2.6,7,"Missing participant telephones that he has arrived.
V11: it’s Nassa, shall I take it?
V11: Hi Nassa, hi Nassa, hi, where are you?",2,3,3,6,7,8,,,
6,01:20,5,6.3,"V13: Hey, how good that you are here! 
V14: Hi Marin 
V16: Roula, nice to meet you. 
V15: hey
V13: yes, all women",6,6,3,6,7,6,,,
7,01:37,4,4,"Researcher: Have a chair  
V15: Sorry for being late  
V13: it’s ok
V11: But now you’re here! ",3,4,5,3,4,5,,,
8,01:48,5.3,5.6,"V12: We just finished an exercise which I will explain in English 
Researcher: English is great. Is English ok for you?  
V15: No problem! 
Researcher: oh thank you",5,5,6,5,5,7,,,
9,01:56,4,2.6,"V12: So we will explain in English what we have done. OK, the exercise was to draw all the organisations in Almere, one of our new projects who are involved in the Inkr8 process. Should I go on?  
Researcher: Please.  
V12: There’s one woningcorporatie",3,4,5,2,3,3,,,
10,02:22,3,4,"V13: I suggest we do it in Dutch. 
V14: housing corporation ",2,4,3,2,7,3,,,
11,02:25,4.6,4.3,"V12: … housing cooperation and they introduced us. They work together with another housing cooperation and with the municipality. The three of them gave us a follow up assignment to get people in Almere Haven involved. The inhabitants and other organisations, such as residents’ committees, a ‘white’ club, the neighborhood workers from Amsterdam Saoel and Jelke, who had trained people there. A couple of important people are Hassan and his family. They got lots of friends and family involved, about 50 all together. And there are new key people in another neighborhood in Almere, who we also see as leaders. There is De Schor, a youth and welfare organisation. In general there is a lot of interest from these three organisations and participation as well, mostly from the municipality. But the welfare organisations say they are interested but they don’t participate. We had lots of contact with the mosque, but in the end they don’t participate. Um, yea
V11: well Hassan is but... 
V12: yes we’ve had concrete leads
V11: young people
V14: oh yeah
V12: We have met with a lot of people in schools, who also say they are interested but have no time to invest in training. We have given presentations to young people, who now want to participate in the third phase of this project.  ",4,4,6,4,4,5,,,
12,04:27,3.6,6.6,"V11: Neighborhood inhabitants are the real key factor. They are – and that is good, we have been working on this there for two years, and now there is a new group of inhabitants who are enthusiastic and want to participate. They want to do the ‘train the trainer’ program. And this is typical for what happens. We recently composed a letter for Bob to send to these people,
V14: oh wow
V11: to send to these people, telling them that the decision to let us train them, has not yet been taken! 
V16: oh for goodness sake, yup
V11: yup
V12: yup",4,3,4,7,7,6,,,
13,05:04,6,8,"V11: We included you, don’t tell that to others… 
V12: He was really enthusiastic, ‘oh I would love to tell them...’ 
V11: “That’s good, I’ll do it immediately.” ",5,6,7,8,8,8,,,
14,05:12,3.3,6.3,"V14: And whose idea was that? 
V11: That was our idea. We were so angry that all these people are eager to participate, and now we’ve been waiting months for a green light. And we couldn’t tell them a thing. So now you do it, is what we thought. And so he did. And that’s so typical for the relationship: we are constantly directing them",3,3,4,6,7,6,,,
