unit,time,engagement_mean,mood_mean,offset,laughter_start,laughter_duration,type_colour,mood1,mood2,mood3,eng1,eng2,eng3,utterance
0,00:00,5.3,5.3,0%,00:32,6,#F59100,5,5,6,6,6,4,"<p><strong>V2:</strong> so it's strong, strong then there's lots of good communication there, lots of strong communication
</p><p><strong>V1:</strong> yes. Alright?
</p><p><strong>V2:</strong> and then you brought in
</p><p><strong>V1:</strong> let's call it music shall we
</p><p><strong>V2:</strong> music to our ears
</p><p><strong>V1:</strong> that's music
[singing]
</p><p><strong>V2:</strong> ideas, music, good communication"
22,00:22,6.6,4.6,7.94%,03:32,1,#FFE600,5,5,4,6,8,6,"<p><strong>V1:</strong> which helped... yup
</p><p><strong>V2:</strong> yup. that's a good thought. And then and, then you drew in me, B, D and N1 to do the donkey work</p>
<p>Laughter</p>
</p><p><strong>V1:</strong> ooohhh
</p><p><strong>V2:</strong> some more donkey'ish than others"
40,00:40,5.6,4.6,14.44%,0,-20,,6,5,3,6,6,5,"<p><strong>V1:</strong> ok. so em, yea, so that was all... well N1 was already in there, N1 was in the first tranche, cos you, because in fact you were the pin of getting the thing, getting the
</p><p><strong>V3:</strong> I was going to say,
</p><p><strong>V1:</strong> the first tranche, yeah
</p><p><strong>V3:</strong> yes, well you know,
</p><p><strong>V1:</strong> you were really the lynchpin of getting the
</p><p><strong>V3:</strong> if I had to be completely lacking in modesty
</p><p><strong>V1:</strong> yeah
</p><p><strong>V3:</strong> I would draw one of these things between my name and these guys
</p><p><strong>V1:</strong> yea that's right"
70,01:10,4.6,5.6,25.27%,0,-20,,6,5,6,5,4,5,"<p><strong>V2:</strong> you're doing it, you're doing it in another colour
</p><p><strong>V1:</strong> cos that was the key thing here wasn't it?
</p><p><strong>V3:</strong> to get the accreditation
</p><p><strong>V2:</strong> that's good "
79,01:19,5.3,5.6,28.52%,0,-20,,6,6,5,5,6,5,"<p><strong>V1:</strong> and probably you remember L, weren't you?
</p><p><strong>V3:</strong> I remember L
</p><p><strong>V1:</strong> were you involved in getting that kind of with that relationship?
</p><p><strong>V3:</strong> yea. L was my main point of contact
</p><p><strong>V1:</strong> it was really here...  "
95,01:35,4.6,4.3,34.30%,0,-20,,5,4,4,5,4,5,"<p><strong>V2:</strong> and who were you connected to SM?
</p><p><strong>V1:</strong> well I mean because we've got different timelines it's a bit weird isn't it... but then so for... so... that moved into mainly R and N2 I'd say for me.
</p><p><strong>V2:</strong> Well put connections to them then
</p><p><strong>V1:</strong> ok "
115,01:55,4.3,4.3,41.52%,0,-20,,5,4,4,4,5,4,"<p><strong>V3:</strong> I mean I remember you having quite a strong connection with R, like, rather, you know, anxious
</p><p><strong>V1:</strong> ok
</p><p><strong>V2:</strong> was it  good communication,   or? what was that?  "
127,02:07,4,3.6,45.85%,0,-20,,4,4,3,4,4,4,"<p><strong>V1:</strong> that was um... that was about ... em... that was about delivery and money, really.
</p><p><strong>V2:</strong> and did the communication flow well, or.. ?
</p><p><strong>V1:</strong> yeah, yeah ... no well as good as it could, I suppose [reluctant to speak out] what can I say about that?
</p><p><strong>V2:</strong> I dont know "
144,02:24,5,3,51.99%,0,-20,,3,4,2,5,3,7,Sighing
148,02:28,4.3,5,53.43%,0,-20,,5,5,5,4,5,4,"<p><strong>V3:</strong> In my case for example I can remember always being of course difficulties but overall I would say that my communication with say for example the guys at apt, and L as well who is the only person I was in contact with at Locality, was overall good.
</p><p><strong>V1:</strong> good, good
</p><p><strong>V2:</strong> good "
